Modelo,Precio (€),Año,Kilometraje (kms),Color,País,Hashtags
Tesla Model Y Performance,"58,970",2025,0,White,Spain,"#spain, #carbon fibre spoiler, #autopilot, #standard connectivity, #left hand drive, #pearl white multi-coat color"
Tesla Model Y Performance,"58,970",2024,9,Blue,Spain,"#spain, #carbon fibre spoiler, #autopilot, #standard connectivity, #left hand drive, #deep blue metallic color, #tow package"
Tesla Model Y Performance,"58,975",2025,0,White,Portugal,"#portugal, #carbon fibre spoiler, #autopilot, #standard connectivity, #left hand drive, #pearl white multi-coat color"
Tesla Model Y Long Range AWD,"59,290",2025,4,Blue,France,"#france, #autopilot, #standard connectivity, #full self-driving hardware (…, #left hand drive, #deep blue metallic color"
Tesla Model Y Performance,"59,440",2024,54,Desconocido,Spain,"#spain, #carbon fibre spoiler, #autopilot, #standard connectivity, #left hand drive, #quicksilver color, #tow package"
Tesla Model Y Performance,"60,275",2025,5,Black,Portugal,"#portugal, #carbon fibre spoiler, #autopilot, #standard connectivity, #left hand drive, #solid black color"
Tesla Model Y Performance,"60,390",2025,5,Desconocido,France,"#france, #carbon fibre spoiler, #enhanced autopilot, #standard connectivity, #left hand drive, #quicksilver color"
Tesla Model Y Performance,"61,475",2025,4,Black,Portugal,"#portugal, #carbon fibre spoiler, #autopilot, #standard connectivity, #left hand drive, #solid black color"
Tesla Model Y Performance,"61,475",2024,7,Blue,Portugal,"#portugal, #carbon fibre spoiler, #autopilot, #standard connectivity, #left hand drive, #deep blue metallic color"
Tesla Model Y Performance,"61,490",2025,4,White,France,"#france, #carbon fibre spoiler, #autopilot, #standard connectivity, #full self-driving hardware (…, #left hand drive, #pearl white multi-coat color"
Tesla Model Y Performance,"61,500",2024,395,Black,Spain,"#spain, #carbon fibre spoiler, #autopilot, #standard connectivity, #left hand drive, #solid black color, #tow package"
Tesla Model Y Performance,"61,575",2025,4,Red,Portugal,"#portugal, #carbon fibre spoiler, #autopilot, #standard connectivity, #left hand drive, #midnight cherry red color"
Tesla Model Y Performance,"61,620",2024,6,Black,Spain,"#spain, #carbon fibre spoiler, #autopilot, #standard connectivity, #left hand drive, #solid black color, #tow package"
Tesla Model Y Performance,"62,620",2024,9,Red,Spain,"#spain, #carbon fibre spoiler, #autopilot, #standard connectivity, #left hand drive, #midnight cherry red color"
Tesla Model Y Performance,"62,825",2024,9,Blue,Portugal,"#portugal, #carbon fibre spoiler, #autopilot, #standard connectivity, #left hand drive, #deep blue metallic color, #tow package"
Tesla Model Y Performance,"62,930",2025,2,Desconocido,France,"#france, #carbon fibre spoiler, #enhanced autopilot, #standard connectivity, #left hand drive, #quicksilver color, #tow package"
Tesla Model Y Performance,"64,815",2024,13,Blue,Portugal,"#portugal, #carbon fibre spoiler, #autopilot, #standard connectivity, #full self-driving hardware (…, #left hand drive, #deep blue metallic color"
Tesla Model Y Performance,"66,420",2024,10,Red,Spain,"#spain, #carbon fibre spoiler, #enhanced autopilot, #standard connectivity, #left hand drive, #midnight cherry red color"
Tesla Model Y Performance,"67,775",2025,4,Black,Portugal,"#portugal, #carbon fibre spoiler, #autopilot, #standard connectivity, #full self-driving hardware (…, #left hand drive, #solid black color"
